Question,Paragraph,Page,answer,bm25_k=3_pages,bm25_mugi_k=3_pages,cosine_similarity_k=3
What is the definition of agrifiber?,"Processing(CS 224N)/CS224n_project/DocProcessing.py""
 Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 SUSTAINABLE DESIGN REQUIREMENTS  018113 - 2  1.4 DEFINITIONS  
A. Agrifiber Products: Composite panel products derived from agricultural fiber  
B. Certificates of Chain -of-Custody: Certificates signed by manufacturers certifyin g that wood used 
to make products has been tracked through its extraction and fabrication to ensure that is was 
obtained from forests certified by a specified certification program  
C. Composite Wood: A product consisting of wood fiber or other plant particles  bonded together by 
a resin or binder  
D. Construction and Demolition Waste: Includes solid wastes, such as building materials, 
packaging, rubbish, debris, and rubble resulting from construction, remodeling, repair and 
demolition operations. A construction wa ste management plan is to be provided by the 
Contractor as defined in Section 017419.  
E. LEED: The Leadership in Energy & Environmental Design green building rating systems 
developed and adopted by the U.S. Green Building Council (USGBC). The systems certify 
levels of environmental achievement based on a point and credit scoring system.  
F. LEED NC: The Leadership in Energy & Environmental Design green building rating system 
developed and adopted by the USGBC for new construction and major renovations of building s 
G. Light Pollution: Light that extends beyond its source such that the additional light is wasted in an 
unwanted area or in an area where it inhibits view of the night sky.  
H. Recycled Content Materials: Products that contain pre -consumer or post -consumer mate rials 
I. Post-Consumer Recycled Content: The percentage by weight of constituent materials that have 
been recovered or otherwise diverted from the solid -waste stream after consumer use  
J. Pre-Consumer Recycled Content: Materials that have been recovered or other wise diverted 
from the solid -waste stream during the manufacturi",98,Composite panel products derived from agricultural fiber,"[1, 1, 117]","[100, 167, 46]","[88, 281, 119]"
What is the definition of sealant?,"F. LEED NC: The Leadership in Energy & Environmental Design green building rating system 
developed and adopted by the USGBC for new construction and major renovations of building s 
G. Light Pollution: Light that extends beyond its source such that the additional light is wasted in an 
unwanted area or in an area where it inhibits view of the night sky.  
H. Recycled Content Materials: Products that contain pre -consumer or post -consumer mate rials 
I. Post-Consumer Recycled Content: The percentage by weight of constituent materials that have 
been recovered or otherwise diverted from the solid -waste stream after consumer use  
J. Pre-Consumer Recycled Content: Materials that have been recovered or other wise diverted 
from the solid -waste stream during the manufacturing process. Pre -consumer content must be 
material that would not have otherwise entered the waste stream as per Section 5 of the FTC 
Act, Part 260 “Guidelines for the Use of Environmental Mark eting Claims”: 
www.ftc.gov/bcp/grnrule/guides980427  
K. Regional Materials: Materials that are extracted, harvested, recovered, and manufactured within 
a radius of 500 miles (400 km ) from the Project site  
L. Sealant: Any material that fills and seals gaps betwee n other materials  
M. Volatile Organic Compounds (VOCs): Any compound of carbon, excluding carbon monoxide, 
carbon dioxide, carbonic acid, metallic carbides or carbonates, and ammonium carbonate, 
which participates in atmospheric photochemical reactions. Comp ounds that have negligible 
photochemical reactivity, listed in EPA 40 CFR 51.100(s), are also excluded from this regulatory 
definition.  
1.5 SUBMITTALS  
A. General: Additional Sustainable Design submittal requirements are included in other sections of 
the Specifica tions.",98,Any material that fills and seals gaps betwee n other materials,"[1, 1, 117]","[70, 1, 4]","[135, 135, 135]"
What is the definition of VOCs?,"F. LEED NC: The Leadership in Energy & Environmental Design green building rating system 
developed and adopted by the USGBC for new construction and major renovations of building s 
G. Light Pollution: Light that extends beyond its source such that the additional light is wasted in an 
unwanted area or in an area where it inhibits view of the night sky.  
H. Recycled Content Materials: Products that contain pre -consumer or post -consumer mate rials 
I. Post-Consumer Recycled Content: The percentage by weight of constituent materials that have 
been recovered or otherwise diverted from the solid -waste stream after consumer use  
J. Pre-Consumer Recycled Content: Materials that have been recovered or other wise diverted 
from the solid -waste stream during the manufacturing process. Pre -consumer content must be 
material that would not have otherwise entered the waste stream as per Section 5 of the FTC 
Act, Part 260 “Guidelines for the Use of Environmental Mark eting Claims”: 
www.ftc.gov/bcp/grnrule/guides980427  
K. Regional Materials: Materials that are extracted, harvested, recovered, and manufactured within 
a radius of 500 miles (400 km ) from the Project site  
L. Sealant: Any material that fills and seals gaps betwee n other materials  
M. Volatile Organic Compounds (VOCs): Any compound of carbon, excluding carbon monoxide, 
carbon dioxide, carbonic acid, metallic carbides or carbonates, and ammonium carbonate, 
which participates in atmospheric photochemical reactions. Comp ounds that have negligible 
photochemical reactivity, listed in EPA 40 CFR 51.100(s), are also excluded from this regulatory 
definition.  
1.5 SUBMITTALS  
A. General: Additional Sustainable Design submittal requirements are included in other sections of 
the Specifica tions.",98,"Any compound of carbon, excluding carbon monoxide, carbon dioxide, carbonic acid, metallic carbides or carbonates, and ammonium carbonate, which participates in atmospheric photochemical reactions.","[1, 1, 117]","[97, 97, 62]","[119, 203, 31]"
What is the mesasurement tolerance for duct air temperature?,"3. System specific test equipment, tools and instruments (e.g. test equipment specific to a 
piece of equipm ent) required for commissioning shall be included in the base bid price by 
the Contractor and retained by the Owner.  
4. Data logging equipment and software required to test equipment provided by the CA, will 
not become the property of the Owner.  
a. Testing equip ment shall be of sufficient quality and accuracy measure system 
performance with the tolerances listed in the Specifications  
5. Equipment shall be calibrated according to the manufacturer’s recommended intervals 
and when dropped or damaged.  Calibration tags  shall be affixed or certificates readily 
available.  
6. Control System Instrument Calibration:  
a. Field -installed sensors, gauges, and actuators shall be calibrated per the 
manufacturer’s recommendations.   
b. Alternate calibration methods may be used, if approved by the Owner’s 
Representative.   
c. Test instruments shall have had a certified calibration within the last 12 months.   
d. Sensors installed at the factory with provided calibration certification need not be 
field calibrated.  
7. Measurement Tolerances, Standard Ap plications (Sensor and Required Tolerance (+/ -)) 
a. Outside air, space air, duct air temperature: 1.0 deg F. ",114,1.0 deg F,"[114, 42, 170]","[101, 102, 102]","[224, 272, 138]"
What is the measurement tolerance of relative humitdity?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 COMMISSIONING REQUIREMENTS  019100 - 5  b. Watt-hour, Voltage & Amperage: 1% of range.  
c. Pressures, air, water and gas: 3% of design.  
d. Flow rates, air: 10% of design.  
e. Flow rates, water: 4% of desi gn. 
f. Relative humidity: 5%.  
g. CO2 monitor: 0.1 %.  
h. CO2 monitor: 75 ppm.  
PART 3 - EXECUTION   
A. Commissioning Plan:  
1. The Commissioning Plan is an independent document issued by the CA to the Owner’s 
Representative, Contractor, and Design Team near the start of construction .  The plan is 
not a Contract document and if there is a conflict, the Specifications and Contract 
documents take precedence.  
B. Commissioning Meetings:  
1. Scoping Meeting:   
a. The CA will schedule, plan and conduct a commissioning scoping meeting with the 
commiss ioning team.   
b. Information gathered from this meeting will allow the CA to revise and reissue the 
Commissioning Plan.  
2. Commissioning Meetings:   
a. At the discretion of the CA, meetings will be planned and conducted as 
construction progresses.  Typically the f requency increases as construction 
completion nears,  
b. Commissioning meetings will be held as frequently as one per week.  
c. These meetings will cover commissioning coordination and deficiency resolution.  
d. There shall be a maximum of 6 separately scheduled comm issioning meetings.  
C. Reporting:  
1. General Commissioning -Related Reporting:  
a. The CA will keep the Owner’s Representative apprised on the progress of 
commissioning.  
b. The CA will communicate with members of the commissioning team, keeping them 
apprised of commissi oning progress and scheduling changes.  
c. Testing or review approvals and non -conformance and deficiency reports are 
made with the review and testing as described in later sections.  
2. Commissioning Work Products  
a. The commissioning process generates a number of w ritten work pr",115,5%.,"[114, 206, 1]","[46, 283, 206]","[138, 138, 138]"
What is the measurement tolerance of CO2 monitor in percent?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 COMMISSIONING REQUIREMENTS  019100 - 5  b. Watt-hour, Voltage & Amperage: 1% of range.  
c. Pressures, air, water and gas: 3% of design.  
d. Flow rates, air: 10% of design.  
e. Flow rates, water: 4% of desi gn. 
f. Relative humidity: 5%.  
g. CO2 monitor: 0.1 %.  
h. CO2 monitor: 75 ppm.  
PART 3 - EXECUTION   
A. Commissioning Plan:  
1. The Commissioning Plan is an independent document issued by the CA to the Owner’s 
Representative, Contractor, and Design Team near the start of construction .  The plan is 
not a Contract document and if there is a conflict, the Specifications and Contract 
documents take precedence.  
B. Commissioning Meetings:  
1. Scoping Meeting:   
a. The CA will schedule, plan and conduct a commissioning scoping meeting with the 
commiss ioning team.   
b. Information gathered from this meeting will allow the CA to revise and reissue the 
Commissioning Plan.  
2. Commissioning Meetings:   
a. At the discretion of the CA, meetings will be planned and conducted as 
construction progresses.  Typically the f requency increases as construction 
completion nears,  
b. Commissioning meetings will be held as frequently as one per week.  
c. These meetings will cover commissioning coordination and deficiency resolution.  
d. There shall be a maximum of 6 separately scheduled comm issioning meetings.  
C. Reporting:  
1. General Commissioning -Related Reporting:  
a. The CA will keep the Owner’s Representative apprised on the progress of 
commissioning.  
b. The CA will communicate with members of the commissioning team, keeping them 
apprised of commissi oning progress and scheduling changes.  
c. Testing or review approvals and non -conformance and deficiency reports are 
made with the review and testing as described in later sections.  
2. Commissioning Work Products  
a. The commissioning process generates a number of w ritten work pr",115,0.1 %.,"[114, 115, 206]","[114, 154, 206]","[272, 101, 224]"
What is the measurement tolerance of CO2 monitor in ppm?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 COMMISSIONING REQUIREMENTS  019100 - 5  b. Watt-hour, Voltage & Amperage: 1% of range.  
c. Pressures, air, water and gas: 3% of design.  
d. Flow rates, air: 10% of design.  
e. Flow rates, water: 4% of desi gn. 
f. Relative humidity: 5%.  
g. CO2 monitor: 0.1 %.  
h. CO2 monitor: 75 ppm.  
PART 3 - EXECUTION   
A. Commissioning Plan:  
1. The Commissioning Plan is an independent document issued by the CA to the Owner’s 
Representative, Contractor, and Design Team near the start of construction .  The plan is 
not a Contract document and if there is a conflict, the Specifications and Contract 
documents take precedence.  
B. Commissioning Meetings:  
1. Scoping Meeting:   
a. The CA will schedule, plan and conduct a commissioning scoping meeting with the 
commiss ioning team.   
b. Information gathered from this meeting will allow the CA to revise and reissue the 
Commissioning Plan.  
2. Commissioning Meetings:   
a. At the discretion of the CA, meetings will be planned and conducted as 
construction progresses.  Typically the f requency increases as construction 
completion nears,  
b. Commissioning meetings will be held as frequently as one per week.  
c. These meetings will cover commissioning coordination and deficiency resolution.  
d. There shall be a maximum of 6 separately scheduled comm issioning meetings.  
C. Reporting:  
1. General Commissioning -Related Reporting:  
a. The CA will keep the Owner’s Representative apprised on the progress of 
commissioning.  
b. The CA will communicate with members of the commissioning team, keeping them 
apprised of commissi oning progress and scheduling changes.  
c. Testing or review approvals and non -conformance and deficiency reports are 
made with the review and testing as described in later sections.  
2. Commissioning Work Products  
a. The commissioning process generates a number of w ritten work pr",115,75 ppm,"[114, 115, 206]","[114, 169, 206]","[272, 98, 224]"
What is the measurement tolerance for the flow rates of air?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 COMMISSIONING REQUIREMENTS  019100 - 5  b. Watt-hour, Voltage & Amperage: 1% of range.  
c. Pressures, air, water and gas: 3% of design.  
d. Flow rates, air: 10% of design.  
e. Flow rates, water: 4% of desi gn. 
f. Relative humidity: 5%.  
g. CO2 monitor: 0.1 %.  
h. CO2 monitor: 75 ppm.  
PART 3 - EXECUTION   
A. Commissioning Plan:  
1. The Commissioning Plan is an independent document issued by the CA to the Owner’s 
Representative, Contractor, and Design Team near the start of construction .  The plan is 
not a Contract document and if there is a conflict, the Specifications and Contract 
documents take precedence.  
B. Commissioning Meetings:  
1. Scoping Meeting:   
a. The CA will schedule, plan and conduct a commissioning scoping meeting with the 
commiss ioning team.   
b. Information gathered from this meeting will allow the CA to revise and reissue the 
Commissioning Plan.  
2. Commissioning Meetings:   
a. At the discretion of the CA, meetings will be planned and conducted as 
construction progresses.  Typically the f requency increases as construction 
completion nears,  
b. Commissioning meetings will be held as frequently as one per week.  
c. These meetings will cover commissioning coordination and deficiency resolution.  
d. There shall be a maximum of 6 separately scheduled comm issioning meetings.  
C. Reporting:  
1. General Commissioning -Related Reporting:  
a. The CA will keep the Owner’s Representative apprised on the progress of 
commissioning.  
b. The CA will communicate with members of the commissioning team, keeping them 
apprised of commissi oning progress and scheduling changes.  
c. Testing or review approvals and non -conformance and deficiency reports are 
made with the review and testing as described in later sections.  
2. Commissioning Work Products  
a. The commissioning process generates a number of w ritten work pr",115,10% of design,"[114, 199, 103]","[114, 206, 102]","[272, 224, 169]"
What is the measurement tolerance for the flow rates of water?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 COMMISSIONING REQUIREMENTS  019100 - 5  b. Watt-hour, Voltage & Amperage: 1% of range.  
c. Pressures, air, water and gas: 3% of design.  
d. Flow rates, air: 10% of design.  
e. Flow rates, water: 4% of desi gn. 
f. Relative humidity: 5%.  
g. CO2 monitor: 0.1 %.  
h. CO2 monitor: 75 ppm.  
PART 3 - EXECUTION   
A. Commissioning Plan:  
1. The Commissioning Plan is an independent document issued by the CA to the Owner’s 
Representative, Contractor, and Design Team near the start of construction .  The plan is 
not a Contract document and if there is a conflict, the Specifications and Contract 
documents take precedence.  
B. Commissioning Meetings:  
1. Scoping Meeting:   
a. The CA will schedule, plan and conduct a commissioning scoping meeting with the 
commiss ioning team.   
b. Information gathered from this meeting will allow the CA to revise and reissue the 
Commissioning Plan.  
2. Commissioning Meetings:   
a. At the discretion of the CA, meetings will be planned and conducted as 
construction progresses.  Typically the f requency increases as construction 
completion nears,  
b. Commissioning meetings will be held as frequently as one per week.  
c. These meetings will cover commissioning coordination and deficiency resolution.  
d. There shall be a maximum of 6 separately scheduled comm issioning meetings.  
C. Reporting:  
1. General Commissioning -Related Reporting:  
a. The CA will keep the Owner’s Representative apprised on the progress of 
commissioning.  
b. The CA will communicate with members of the commissioning team, keeping them 
apprised of commissi oning progress and scheduling changes.  
c. Testing or review approvals and non -conformance and deficiency reports are 
made with the review and testing as described in later sections.  
2. Commissioning Work Products  
a. The commissioning process generates a number of w ritten work pr",115,4% of desi gn.,"[114, 199, 103]","[68, 206, 86]","[272, 224, 138]"
What is the process for curing concrete flatwork?," Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 CAST-IN-PLACE CONCRETE  033000 - 14  4. Finish walk slabs with a medium broom finis h, with tooled edges, as approved by the 
Architect on a 4 ft. square sample panel to be provided by the Contractor where directed 
at the site.  Draw broom against a straightedge at right angle to the direction of traf fic. 
H. Markings:  
1. At expansion joints and  elsewhere as indicated, mark slabs with a 1/4 in. radiused edging 
or marking tool. In textured work edge and mark slabs, after texturing, with a combination 
edging/smoothing tool approximately 1 -1/2 in. wide.  
2. Where saw cutting is indicated, time this oper ation so that it is performed as soon as 
concrete has hardened sufficiently to prevent aggregates being dislodged by the saw, but 
before shrinkage stresses have developed sufficiently to produce cracking.  
3. Make marking lines straight, or curved as indicated , equally spaced and parallel to 
adjacent lines and/or walls, edges and other construction, and of uniform depth and cross 
section, with intersections accurately formed.  
I. Curbs:  Immediately after removing forms, finish faces and top with a steel trowel.  
3.8 CURING  
A. Formed concrete:  
1. Wet the tops and exposed portions of formed concrete and keep moist until forms are 
removed.  
2. If forms are removed before 14 days after concrete is cast, coat concrete with curing 
compound as specified for flatwork below.  
B. Concrete flat work:  
1. After finishing, spray the specified curing compound uniformly in a minimum of 2 coats at 
90 degrees to each other at 3 times the minimum coverage rates recommended by the 
manufacturer.  
a. Inspect treated surfaces daily for 14 days for evidence of dryin g. 
b. Re-wet the surfaces and apply a new application of curing compound, if premature 
drying occurs, as soon as can be done after finishing without marring the surfaces.  
2. All interio",146,spray the specified curing compound uniformly in a minimum of 2 coats at 90 degrees to each other at 3 times the minimum coverage rates recommended by the manufacturer.,"[146, 146, 39]","[167, 159, 146]","[146, 145, 150]"
What is a penetrating dye?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 POLISHED CONCRETE FINISHING  033543 - 3  PART 2 - PRODUCTS  
2.1 DYE MATERIALS  
A. Penetrating Dye: Solvent based color liquid dye concentrate.  
1. Basis -of-Design Product:  Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Liquid Dye Concentrate or comparable product acceptable to 
the Architect.  
B. Chemical Hardener/Densifier: Water -borne  acrylic penetrating material.  
1. Basis -of-Design Product: Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Guard -W or comparable product acceptable to the Architect.  
2.2 LIQUID FLOOR TREATMENTS  
A. Penetrating Liquid Floor Treatm ents for Polished Concrete Finish: Clear, waterborne solution of 
inorganic silicate or siliconate materials and proprietary components; odorless; that penetrates, 
hardens, and is suitable for polished concrete surfaces.  
1. Manufacturers:  Subject to complianc e with requirements, provide products by one of the 
following:  
a. Advanced Floor Products.  
b. ARDEX GmbH.  
c. Euclid Chemical Company (The); an RPM company.  
d. L&M Construction Chemicals, Inc.  
e. QuestMark.  
f. Scofield, L. M. Company.  
g. Vexcon Chemicals Inc.  
PART 3 - EXECUTION  
3.1 POLISHIN G 
A. Polish: Level 2: Low sheen, 400 grit.  
B. Apply polished concrete finish system to cured and prepared slabs to match accepted mockup.  
1. Machine grind floor surfaces to receive polished finishes level and smooth and to depth 
required to reveal light exposure of  aggregate to match approved mockup.  
a. Grind floor to within 2 -3 inches of any installed walls with multiple passes of 
finer-grit pads to indicated level of grit finish, removing construction debris, floor 
slab imperfections and until there is a uniform scra tch pattern and desired concrete 
aggregate exposure.",151,Solvent based color liquid dye concentrate,"[152, 151, 1]","[48, 156, 4]","[293, 135, 135]"
What is chemical hardener?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 POLISHED CONCRETE FINISHING  033543 - 3  PART 2 - PRODUCTS  
2.1 DYE MATERIALS  
A. Penetrating Dye: Solvent based color liquid dye concentrate.  
1. Basis -of-Design Product:  Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Liquid Dye Concentrate or comparable product acceptable to 
the Architect.  
B. Chemical Hardener/Densifier: Water -borne  acrylic penetrating material.  
1. Basis -of-Design Product: Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Guard -W or comparable product acceptable to the Architect.  
2.2 LIQUID FLOOR TREATMENTS  
A. Penetrating Liquid Floor Treatm ents for Polished Concrete Finish: Clear, waterborne solution of 
inorganic silicate or siliconate materials and proprietary components; odorless; that penetrates, 
hardens, and is suitable for polished concrete surfaces.  
1. Manufacturers:  Subject to complianc e with requirements, provide products by one of the 
following:  
a. Advanced Floor Products.  
b. ARDEX GmbH.  
c. Euclid Chemical Company (The); an RPM company.  
d. L&M Construction Chemicals, Inc.  
e. QuestMark.  
f. Scofield, L. M. Company.  
g. Vexcon Chemicals Inc.  
PART 3 - EXECUTION  
3.1 POLISHIN G 
A. Polish: Level 2: Low sheen, 400 grit.  
B. Apply polished concrete finish system to cured and prepared slabs to match accepted mockup.  
1. Machine grind floor surfaces to receive polished finishes level and smooth and to depth 
required to reveal light exposure of  aggregate to match approved mockup.  
a. Grind floor to within 2 -3 inches of any installed walls with multiple passes of 
finer-grit pads to indicated level of grit finish, removing construction debris, floor 
slab imperfections and until there is a uniform scra tch pattern and desired concrete 
aggregate exposure.",151,Water -borne  acrylic penetrating material.,"[1, 1, 280]","[26, 192, 274]","[135, 293, 135]"
What is the specified product of penetrating dye?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 POLISHED CONCRETE FINISHING  033543 - 3  PART 2 - PRODUCTS  
2.1 DYE MATERIALS  
A. Penetrating Dye: Solvent based color liquid dye concentrate.  
1. Basis -of-Design Product:  Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Liquid Dye Concentrate or comparable product acceptable to 
the Architect.  
B. Chemical Hardener/Densifier: Water -borne  acrylic penetrating material.  
1. Basis -of-Design Product: Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Guard -W or comparable product acceptable to the Architect.  
2.2 LIQUID FLOOR TREATMENTS  
A. Penetrating Liquid Floor Treatm ents for Polished Concrete Finish: Clear, waterborne solution of 
inorganic silicate or siliconate materials and proprietary components; odorless; that penetrates, 
hardens, and is suitable for polished concrete surfaces.  
1. Manufacturers:  Subject to complianc e with requirements, provide products by one of the 
following:  
a. Advanced Floor Products.  
b. ARDEX GmbH.  
c. Euclid Chemical Company (The); an RPM company.  
d. L&M Construction Chemicals, Inc.  
e. QuestMark.  
f. Scofield, L. M. Company.  
g. Vexcon Chemicals Inc.  
PART 3 - EXECUTION  
3.1 POLISHIN G 
A. Polish: Level 2: Low sheen, 400 grit.  
B. Apply polished concrete finish system to cured and prepared slabs to match accepted mockup.  
1. Machine grind floor surfaces to receive polished finishes level and smooth and to depth 
required to reveal light exposure of  aggregate to match approved mockup.  
a. Grind floor to within 2 -3 inches of any installed walls with multiple passes of 
finer-grit pads to indicated level of grit finish, removing construction debris, floor 
slab imperfections and until there is a uniform scra tch pattern and desired concrete 
aggregate exposure.",151,"Scofield, L. M. Company; Formula One Liquid Dye Concentrate","[151, 26, 1]","[99, 100, 169]","[135, 293, 135]"
What is the specified product for chemical hardener?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 POLISHED CONCRETE FINISHING  033543 - 3  PART 2 - PRODUCTS  
2.1 DYE MATERIALS  
A. Penetrating Dye: Solvent based color liquid dye concentrate.  
1. Basis -of-Design Product:  Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Liquid Dye Concentrate or comparable product acceptable to 
the Architect.  
B. Chemical Hardener/Densifier: Water -borne  acrylic penetrating material.  
1. Basis -of-Design Product: Subject to compliance with requirements, provide Scofield, L. 
M. Company; Formula One Guard -W or comparable product acceptable to the Architect.  
2.2 LIQUID FLOOR TREATMENTS  
A. Penetrating Liquid Floor Treatm ents for Polished Concrete Finish: Clear, waterborne solution of 
inorganic silicate or siliconate materials and proprietary components; odorless; that penetrates, 
hardens, and is suitable for polished concrete surfaces.  
1. Manufacturers:  Subject to complianc e with requirements, provide products by one of the 
following:  
a. Advanced Floor Products.  
b. ARDEX GmbH.  
c. Euclid Chemical Company (The); an RPM company.  
d. L&M Construction Chemicals, Inc.  
e. QuestMark.  
f. Scofield, L. M. Company.  
g. Vexcon Chemicals Inc.  
PART 3 - EXECUTION  
3.1 POLISHIN G 
A. Polish: Level 2: Low sheen, 400 grit.  
B. Apply polished concrete finish system to cured and prepared slabs to match accepted mockup.  
1. Machine grind floor surfaces to receive polished finishes level and smooth and to depth 
required to reveal light exposure of  aggregate to match approved mockup.  
a. Grind floor to within 2 -3 inches of any installed walls with multiple passes of 
finer-grit pads to indicated level of grit finish, removing construction debris, floor 
slab imperfections and until there is a uniform scra tch pattern and desired concrete 
aggregate exposure.",151,"Scofield, L. M. Company.  
g. Vexcon Chemicals Inc.","[280, 130, 26]","[100, 170, 26]","[135, 135, 164]"
What products for product data informational submittals need to be supplied for hydraulic cement underlayment?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 HYDRAULIC CEMENT UNDERLAYMENT  035416 - 1  SECTION 035416  - HYDRAULIC CEMENT UNDERLAYMENT  
PART 1 - GENERAL  
1.1 SUMMARY  
A. Section includes polymer -modified, self -leveling, hydraulic cement underlayment for application 
below interior floor coverings.  
1.2 ACTION SUBMITTALS  
A. Product Data: For each type of product.  
B. Shop Drawings: Include plans indicating substrates, locations, and average depths of 
underlayment based on survey of substrate conditions.  
1.3 INFORMATIONAL SUBMITTALS  
A. Sustainable Design Submittals:  
1. Product Data : For coatings, indicating VOC content.  
B. Qualification Data: For Installer.  
1.4 QUALITY ASSURANCE  
A. Installer Qualifications: Installer who is approved by manufacturer for applicat ion of 
underlayment products required for this Project.  
1.5 FIELD CONDITIONS  
A. Environmental Limitations: Comply with manufacturer's written instructions for substrate 
temperature, ventilation, ambient temperature and humidity, and other conditions affecting 
underlayment performance.  
1. Place hydraulic cement underlayments only when ambient temperature and temperature 
of substrates are between 50 and 80 deg F . 
PART 2 - PRODUCTS  
2.1 HYDRAULIC CEMENT UNDERLAYMENTS  
A. Hydraulic Cement Underlayment: Polymer -modified, self -leveling, hyd raulic cement product that 
can be applied in minimum uniform thickness of 1/4 inch  (6 mm ) and that can be feathered at 
edges to match adjacent floor elevations.",163,"For coatings, indicating VOC content.","[163, 22, 164]","[100, 99, 100]","[164, 164, 135]"
What type of products should be used for epoxy injection adhesive?,"2. Proof of Ratio and Pressure Testing.  
I. At all Times during the course of the work the contractor shall keep complete an accurate 
record of the pressure an d ratio tests specified above.  These records shall be available to the 
architect.  In addition, the architect/engineer, at any time without prior notification of the 
contractor, may request the contractor to conduct the tests specified above in the presen ce of 
the architect/engineer.  
PART 2 - PRODUCTS  
2.1 HIGH STRENGTH EPOXY RESIN ADHESIVE FOR INJECTION  
A. Provide LARR reports for all products used for approval by architect/engineer.  
B. Epoxy injection adhesive shall be Sikadur 53 as manufactured by Sika Corporation, tel (80 0) 
933-7452, or ETI manufactured by Simpson Strong Tie, tel (562) 699 -0543, or approved equal.  
C. Surface Sealant:  SikaTop 123 as manufactured by Sika Corporation, or ETR Epoxy Paste as 
manufactured by Simpson Strong Tie, or approved equal, and shall be suff iciently strong to 
resist injection pressures to prevent leakage during injection.  
D. Provide other materials as required and recommended by manufacturers subject to approval by 
architect/engineer. ",169,"Sikadur 53 as manufactured by Sika Corporation, tel (80 0) 
933-7452, or ETI","[167, 167, 170]","[167, 167, 170]","[135, 251, 179]"
How heavy should the copper-laminated flashing be?,"Back-Check No. 2 - ASI 009 January 15, 2016 Lakers Practice Facility Los Angeles, CA RA Project No. 2014-015  
 UNIT MASONRY  042000 - 7  B. Flexible Joint Filler Strips:  Built -in between concrete masonry  where indicated; molded from 
natural or synthetic rubbers, alone or in combination, conforming to ASTM D 2000, and 
neoprene conforming to ASTM D 1056, Grade SCE -41, as manufactured by Williams Products, 
Inc., Hohmann & Barnard, Inc., or Dur -O-Wal. 
C. Control  and Expansion Joint Material:  For use in masonry walls where indicated;  preformed 
4-tube, closed cell sponge neoprene, approximate 3 -1/4 inches (79 mm) width, ""Type NN Joint 
Filler"" as manufactured by Williams Products, or an approved equal product.  
2.9 FLASHING MATERIALS  
A. Copper -Laminated Flashing:  5-oz./sq. ft.  (1.5-kg/sq. m ) copper sheet bonded between 2 layers 
of glass -fiber cloth.  
B. Rubberized -Asphalt Flashing:  Composite flashing product consisting of a pliable, adhesive 
rubberized -asphalt compound, bond ed to a high -density, cross -laminated polyethylene film to 
produce an overall thickness of not less than 0.030 inch  (0.76 mm ). 
1. Accessories:  Provide preformed corners, end dams, other special shapes, and seaming 
materials produced by flashing manufacturer.  
C. Edge Drip:  Stainless -steel, 0.015 inch (0.38 mm) thick.  
D. Adhesives, Primers, and Seam Tapes for Flashings: Flashing manufacturer's standard products 
or products recommended by flashing manufacturer for bonding flashing sheets to each other 
and to substrat es. ",179,5-oz./sq. ft.,"[120, 16, 182]","[179, 187, 169]","[273, 211, 131]"
